year,region,pathway,total_capacity_mt_yr,new_capacity_mt_yr,expansion_triggered,solver_status,npv_cost_usd_m
2036,EU,FT-MSW,0.2835,0.0,True,optimal,0.049
2036,US,HEFA,1.8872,0.1863,True,optimal,0.049
2036,US,Co-processing,6.5593,0.6921,True,optimal,0.049
2036,US,ATJ,1.576,0.0815,True,optimal,0.049
2036,APAC,HEFA,0.4409,0.0,True,optimal,0.049
2036,APAC,Co-processing,6.9807,0.74,True,optimal,0.049
2036,APAC,ATJ,1.6525,0.0,True,optimal,0.049
2036,LATAM,Co-processing,2.0261,0.1916,True,optimal,0.049
2036,LATAM,ATJ,0.0098,0.0,True,optimal,0.049
2036,ROW,Co-processing,1.9457,0.1932,True,optimal,0.049
2036,MENA,HEFA,0.7386,0.0732,True,optimal,0.049
2036,MENA,ATJ,1.5795,0.1661,True,optimal,0.049
2036,MENA,FT-MSW,0.6246,0.0692,True,optimal,0.049
2036,MENA,Co-processing,1.7741,0.173,True,optimal,0.049
2036,MENA,PtL,2.7879,0.2629,True,optimal,0.049
2037,EU,HEFA,1.9533,0.1714,True,optimal,0.034
2037,EU,ATJ,5.7709,0.1886,True,optimal,0.034
2037,EU,Co-processing,5.7035,0.5346,True,optimal,0.034
2037,EU,FT-MSW,0.2835,0.0,True,optimal,0.034
2037,US,HEFA,2.0791,0.1919,True,optimal,0.034
2037,US,Co-processing,7.2722,0.7129,True,optimal,0.034
2037,US,ATJ,1.5807,0.0048,True,optimal,0.034
2037,APAC,HEFA,0.4409,0.0,True,optimal,0.034
2037,APAC,Co-processing,7.6708,0.69,True,optimal,0.034
2037,APAC,ATJ,1.6525,0.0,True,optimal,0.034
2037,LATAM,Co-processing,2.2018,0.1757,True,optimal,0.034
2037,LATAM,ATJ,0.0098,0.0,True,optimal,0.034
2037,ROW,Co-processing,2.1258,0.1801,True,optimal,0.034
2037,MENA,HEFA,0.814,0.0754,True,optimal,0.034
2037,MENA,ATJ,1.7506,0.1711,True,optimal,0.034
2037,MENA,FT-MSW,0.6959,0.0713,True,optimal,0.034
2037,MENA,Co-processing,1.9524,0.1782,True,optimal,0.034
2037,MENA,PtL,2.9858,0.1979,True,optimal,0.034
2038,EU,HEFA,2.1298,0.1765,True,optimal,0.047
2038,EU,ATJ,6.7345,0.9635,True,optimal,0.047
2038,EU,Co-processing,6.2542,0.5507,True,optimal,0.047
2038,EU,FT-MSW,0.2835,0.0,True,optimal,0.047
2038,US,HEFA,2.2769,0.1977,True,optimal,0.047
2038,US,Co-processing,8.0064,0.7342,True,optimal,0.047
2038,US,ATJ,1.5911,0.0104,True,optimal,0.047
2038,APAC,HEFA,0.4409,0.0,True,optimal,0.047
2038,APAC,Co-processing,8.3955,0.7247,True,optimal,0.047
2038,APAC,ATJ,1.6525,0.0,True,optimal,0.047
2038,LATAM,Co-processing,2.3853,0.1835,True,optimal,0.047
2038,LATAM,ATJ,0.0098,0.0,True,optimal,0.047
2038,ROW,Co-processing,2.3155,0.1897,True,optimal,0.047
2038,MENA,HEFA,0.8917,0.0776,True,optimal,0.047
2038,MENA,ATJ,1.9268,0.1762,True,optimal,0.047
2038,MENA,FT-MSW,0.7693,0.0734,True,optimal,0.047
2038,MENA,Co-processing,2.136,0.1836,True,optimal,0.047
2038,MENA,PtL,3.2055,0.2197,True,optimal,0.047
2039,EU,HEFA,2.3115,0.1818,True,optimal,0.038
2039,EU,ATJ,6.9718,0.2374,True,optimal,0.038
2039,EU,Co-processing,6.8215,0.5673,True,optimal,0.038
2039,EU,FT-MSW,0.2835,0.0,True,optimal,0.038
2039,US,HEFA,2.4805,0.2036,True,optimal,0.038
2039,US,Co-processing,8.7627,0.7562,True,optimal,0.038
2039,US,ATJ,1.6077,0.0166,True,optimal,0.038
2039,APAC,HEFA,0.4409,0.0,True,optimal,0.038
2039,APAC,Co-processing,9.1563,0.7609,True,optimal,0.038
2039,APAC,ATJ,1.6525,0.0,True,optimal,0.038
2039,LATAM,Co-processing,2.577,0.1916,True,optimal,0.038
2039,LATAM,ATJ,0.0098,0.0,True,optimal,0.038
2039,ROW,Co-processing,2.5152,0.1997,True,optimal,0.038
2039,MENA,HEFA,0.9717,0.08,True,optimal,0.038
2039,MENA,ATJ,2.1083,0.1815,True,optimal,0.038
2039,MENA,FT-MSW,0.845,0.0756,True,optimal,0.038
2039,MENA,Co-processing,2.3251,0.1891,True,optimal,0.038
2039,MENA,PtL,3.4482,0.2427,True,optimal,0.038
2040,EU,HEFA,2.4988,0.1873,True,optimal,0.04
2040,EU,ATJ,7.2336,0.2618,True,optimal,0.04
2040,EU,Co-processing,7.4057,0.5843,True,optimal,0.04
2040,EU,FT-MSW,0.2835,0.0,True,optimal,0.04
2040,US,HEFA,2.6902,0.2097,True,optimal,0.04
2040,US,Co-processing,9.5417,0.779,True,optimal,0.04
2040,US,ATJ,1.6308,0.0231,True,optimal,0.04
2040,APAC,HEFA,0.4409,0.0,True,optimal,0.04
2040,APAC,Co-processing,9.9549,0.7986,True,optimal,0.04
2040,APAC,ATJ,1.6525,0.0,True,optimal,0.04
2040,LATAM,Co-processing,2.777,0.2,True,optimal,0.04
2040,LATAM,ATJ,0.0098,0.0,True,optimal,0.04
2040,ROW,Co-processing,2.7253,0.2101,True,optimal,0.04
